virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,onefeet-Art:012CA1FE,0712002120,,onefeet-Art-012CA1FE-0712002120,T1,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:012CA1FE<br />T1 - Soquete","012CA1FE T1 Soquete Niños Liso",4,"012CA1FE T1 Soquete Niños Liso"
,onefeet-Art:012CA2FE,0712002110,,onefeet-Art-012CA2FE-0712002110,T2,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:012CA2FE<br />T2 - Soquete","012CA2FE T2 Soquete Niños Lis",5,"012CA2FE T2 Soquete Niños Lis"
,onefeet-Art:012CA3FE,0712002100,,onefeet-Art-012CA3FE-0712002100,T3,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:012CA3FE<br />T3 - Soquete","012CA3FE T3 Soquete Niños Lis",6,"012CA3FE T3 Soquete Niños Lis"
,onefeet-Art:012CB1FE,0712002090,,onefeet-Art-012CB1FE-0712002090,T1,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:012CB1FE<br />T1 - Soquete","012CB1FE T1 Soquete Niños Liso",4,"012CB1FE T1 Soquete Niños Liso"
,onefeet-Art:012CB2FE,0712002080,,onefeet-Art-012CB2FE-0712002080,T2,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:012CB2FE<br />T2 - Soquete","012CB2FE T2 Soquete Niños Lis",5,"012CB2FE T2 Soquete Niños Lis"
,onefeet-Art:012CB3FE,0712002070,,onefeet-Art-012CB3FE-0712002070,T3,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:012CB3FE<br />T3 - Soquete","012CB3FE T3 Soquete Niños Liso",6,"012CB3FE T3 Soquete Niños Liso"
,onefeet-Art:013CA4FE,0701005170,,onefeet-Art-013CA4FE-0701005170,T4,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:013CA4FE<br />T4 - Soquete","013CA4FE T4 Soquete Juvenil Li",7,"013CA4FE T4 Soquete Juvenil Li"
,onefeet-Art:013CA5FE,0701005160,,onefeet-Art-013CA5FE-0701005160,T5,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:013CA5FE<br />T5 - Soquete","013CA5FE T5 Soquete Juvenil Li",8,"013CA5FE T5 Soquete Juvenil Li"
,onefeet-Art:013CB4FE,0701005150,,onefeet-Art-013CB4FE-0701005150,T4,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:013CB4FE<br />T4 - Soquete","013CB4FE T4 Soquete Juvenil Li",7,"013CB4FE T4 Soquete Juvenil Li"
,onefeet-Art:013CB5FE,0701005140,,onefeet-Art-013CB5FE-0701005140,T5,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:013CB5FE<br />T5 - Soquete","013CB5FE T5 Soquete Juvenil Li",8,"013CB5FE T5 Soquete Juvenil Li"
3245,onefeet-Art:1000C,0701006060,,onefeet-Art-1000C-0701006060,SOQ,HOMBRE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:1000C<br />Corpiño taza soft liso. Algodón lycra.<br />
TALLES:  85 – 90 – 95 – 100<br />
COLORES: Blanco – Hueso – Avellana – Negro","1000C SOQ HOMBRE ESTAM CLAS",1000,"1000C SOQ HOMBRE ESTAM CLAS"
,onefeet-Art:1000D,0701004960,,onefeet-Art-1000D-0701004960,FE,Soquete,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:1000D<br />FE - Soquete","1000D FE Soquete Hombre deport",1000,"1000D FE Soquete Hombre deport"
,onefeet-Art:1000DT,0701004790,,onefeet-Art-1000DT-0701004790,TU,Hombre,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","SOQUETE onefeet-Art:1000DT<br />TU - Hombre","1000DT TU Hombre Soquete Alto",1000,"1000DT TU Hombre Soquete Alto"
