Codarticulo,Descripcion,Descadic,Familia,Codbarra,marca
0310000890,750007MK TS CORAL,CAMPERA,INDUMENTARIA,75000701208,MKFITNESS
0310000900,750007MK TM CORAL,CAMPERA,INDUMENTARIA,75000702208,MKFITNESS
0310000910,750007MK TL CORAL,CAMPERA,INDUMENTARIA,75000703208,MKFITNESS
0310000920,750007MK TXL CORAL,CAMPERA,INDUMENTARIA,75000704208,MKFITNESS
0310000930,750012MK TS GRIS MGE.OSC,CAMPERA,INDUMENTARIA,75001201265,MKFITNESS
0310000940,750012MK TM GRIS MGE.OSC,CAMPERA,INDUMENTARIA,75001202265,MKFITNESS
0310000950,750012MK TL GRIS MGE.OSC,CAMPERA,INDUMENTARIA,75001203265,MKFITNESS
0310000960,750012MK TXL GRIS MGE.OSC,CAMPERA,INDUMENTARIA,75001204265,MKFITNESS
0310000970,750013MK TS GRIS/AMRLLO,CAMPERA,INDUMENTARIA,75001301223,MKFITNESS
0310000980,750013MK TS GRIS/CORAL,CAMPERA,INDUMENTARIA,75001301230,MKFITNESS
0310000990,750013MK TM GRIS/AMRLLO,CAMPERA,INDUMENTARIA,75001302223,MKFITNESS
0310001000,750013MK TM GRIS/CORAL,CAMPERA,INDUMENTARIA,75001302230,MKFITNESS
0310001010,750013MK TL GRIS/AMRLLO,CAMPERA,INDUMENTARIA,75001303223,MKFITNESS
0310001020,750013MK TL GRIS/CORAL,CAMPERA,INDUMENTARIA,75001303230,MKFITNESS
0310001030,750013MK TXL GRIS/AMRLLO,CAMPERA,INDUMENTARIA,75001304223,MKFITNESS
0310001040,750013MK TXL GRIS/CORAL,CAMPERA,INDUMENTARIA,75001304230,MKFITNESS
0310001050,750014MK TS GRIS/ROSA,CAMPERA,INDUMENTARIA,75001401159,MKFITNESS
0310001060,750014MK TS NGRO/AZUL,CAMPERA,INDUMENTARIA,75001401526,MKFITNESS
0310001070,750014MK TM GRIS/ROSA,CAMPERA,INDUMENTARIA,75001402159,MKFITNESS
0310001080,750014MK TM NGRO/AZUL,CAMPERA,INDUMENTARIA,75001402526,MKFITNESS
0310001090,750014MK TL GRIS/ROSA,CAMPERA,INDUMENTARIA,75001403159,MKFITNESS
0310001100,750014MK TL NGRO/AZUL,CAMPERA,INDUMENTARIA,75001403526,MKFITNESS
0310001110,750014MK TXL GRIS/ROSA,CAMPERA,INDUMENTARIA,75001404159,MKFITNESS
0310001120,750014MK TXL NGRO/AZUL,CAMPERA,INDUMENTARIA,75001404526,MKFITNESS
0310001130,750015MK TS GRIS MG AM.FL,CAMPERA,INDUMENTARIA,75001501323,MKFITNESS
0310001140,750015MK TS GRIS MG RS.FL,CAMPERA,INDUMENTARIA,75001501324,MKFITNESS
0310001150,750015MK TM GRIS MG AM.FL,CAMPERA,INDUMENTARIA,75001502323,MKFITNESS
0310001160,750015MK TM GRIS MG RS.FL,CAMPERA,INDUMENTARIA,75001502324,MKFITNESS
0310001170,750015MK TL GRIS MG AM.FL,CAMPERA,INDUMENTARIA,75001503323,MKFITNESS
0310001180,750015MK TL GRIS MG RS.FL,CAMPERA,INDUMENTARIA,75001503324,MKFITNESS
0310001190,750015MK TXL GRIS MG AM.FL,CAMPERA,INDUMENTARIA,75001504323,MKFITNESS
0310001200,750015MK TXL GRIS MG RS.FL,CAMPERA,INDUMENTARIA,75001504324,MKFITNESS
0310001210,750018MK TS FUCSIA NEGRO,CAMPERA,INDUMENTARIA,75001801198,MKFITNESS
0310001220,750018MK TS GRIS MGE NEGRO,CAMPERA,INDUMENTARIA,75001801286,MKFITNESS
0310001230,750018MK TM FUCSIA NEGRO,CAMPERA,INDUMENTARIA,75001802198,MKFITNESS
0310001240,750018MK TM GRIS MGE NEGRO,CAMPERA,INDUMENTARIA,75001802286,MKFITNESS
0310001250,750018MK TL FUCSIA NEGRO,CAMPERA,INDUMENTARIA,75001803198,MKFITNESS
0310001260,750018MK TL GRIS MGE NEGRO,CAMPERA,INDUMENTARIA,75001803286,MKFITNESS
0310001270,750018MK TXL FUCSIA NEGRO,CAMPERA,INDUMENTARIA,75001804198,MKFITNESS
0310001280,750018MK TXL GRIS MGE NEGRO,CAMPERA,INDUMENTARIA,75001804286,MKFITNESS
0310001290,750000MK CAMPERA MK,CAMPERA,INDUMENTARIA,750000MK,MKFITNESS
0310001300,750003MK CAMPERA MK,CAMPERA,INDUMENTARIA,750003MK,MKFITNESS
0310001310,750004MK CAMPERA MK,CAMPERA,INDUMENTARIA,750004MK,MKFITNESS
0310001320,750011MK CAMPERA,CAMPERA,INDUMENTARIA,750011MK,MKFITNESS
0310001330,750012MK CAMPERA,CAMPERA,INDUMENTARIA,750012MK,MKFITNESS
0310001340,750013MK CAMPERA,CAMPERA,INDUMENTARIA,750013MK,MKFITNESS
0310001350,750014MK CAMPERA,CAMPERA,INDUMENTARIA,750014MK,MKFITNESS
0310001360,750015MK CAMPERA,CAMPERA,INDUMENTARIA,750015MK,MKFITNESS
