virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc
,SIGRY-Art:1240S,0101127350,0101122420,SIGRY-Art 1240S-0101127350,T95,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - AZUL
,SIGRY-Art:1240S,0101127360,0101122420,SIGRY-Art 1240S-0101127360,T95,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - ROSA/PETALO
,SIGRY-Art:1240S,0101127370,0101122420,SIGRY-Art 1240S-0101127370,T95,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - ESMERALDA
,SIGRY-Art:1240S,0101127380,0101122420,SIGRY-Art 1240S-0101127380,T95,VIOLETA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - VIOLETA
,SIGRY-Art:1240S,0101127390,0101122420,SIGRY-Art 1240S-0101127390,T95,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - FRUTILLA
,SIGRY-Art:1240S,0101132580,0101122420,SIGRY-Art 1240S-0101132580,T95,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - AZUL
,SIGRY-Art:1240S,0101133530,0101122420,SIGRY-Art 1240S-0101133530,T95,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - BLANCO
,SIGRY-Art:1240S,0101133570,0101122420,SIGRY-Art 1240S-0101133570,T95,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - FRUTILLA
,SIGRY-Art:1240S,0101133610,0101122420,SIGRY-Art 1240S-0101133610,T95,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T95 - NEGRO
,SIGRY-Art:1240S,0101127400,0101122420,SIGRY-Art 1240S-0101127400,T100,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - BLANCO
,SIGRY-Art:1240S,0101127410,0101122420,SIGRY-Art 1240S-0101127410,T100,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - NEGRO
,SIGRY-Art:1240S,0101127420,0101122420,SIGRY-Art 1240S-0101127420,T100,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - AZUL
,SIGRY-Art:1240S,0101127430,0101122420,SIGRY-Art 1240S-0101127430,T100,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - ROSA/PETALO
,SIGRY-Art:1240S,0101127440,0101122420,SIGRY-Art 1240S-0101127440,T100,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - ESMERALDA
,SIGRY-Art:1240S,0101127450,0101122420,SIGRY-Art 1240S-0101127450,T100,VIOLETA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - VIOLETA
,SIGRY-Art:1240S,0101127460,0101122420,SIGRY-Art 1240S-0101127460,T100,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - FRUTILLA
,SIGRY-Art:1240S,0101132590,0101122420,SIGRY-Art 1240S-0101132590,T100,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - AZUL
,SIGRY-Art:1240S,0101133540,0101122420,SIGRY-Art 1240S-0101133540,T100,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - BLANCO
,SIGRY-Art:1240S,0101133580,0101122420,SIGRY-Art 1240S-0101133580,T100,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - FRUTILLA
,SIGRY-Art:1240S,0101133620,0101122420,SIGRY-Art 1240S-0101133620,T100,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1240S<br />T100 - NEGRO
,SIGRY-Art:1250S,0101127470,0101127470,SIGRY-Art 1250S-0101127470,T85,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1250S<br />T85 - BLANCO
,SIGRY-Art:1250S,0101127480,0101127470,SIGRY-Art 1250S-0101127480,T85,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - NEGRO
,SIGRY-Art:1250S,0101127490,0101127470,SIGRY-Art 1250S-0101127490,T85,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - AZUL
,SIGRY-Art:1250S,0101127500,0101127470,SIGRY-Art 1250S-0101127500,T85,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - ROSA/PETALO
,SIGRY-Art:1250S,0101127510,0101127470,SIGRY-Art 1250S-0101127510,T85,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - ESMERALDA
,SIGRY-Art:1250S,0101127520,0101127470,SIGRY-Art 1250S-0101127520,T85,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - FRUTILLA
,SIGRY-Art:1250S,0101132600,0101127470,SIGRY-Art 1250S-0101132600,T85,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - AZUL
,SIGRY-Art:1250S,0101133630,0101127470,SIGRY-Art 1250S-0101133630,T85,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - BLANCO
,SIGRY-Art:1250S,0101133670,0101127470,SIGRY-Art 1250S-0101133670,T85,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - FRUTILLA
,SIGRY-Art:1250S,0101133710,0101127470,SIGRY-Art 1250S-0101133710,T85,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T85 - NEGRO
,SIGRY-Art:1250S,0101127530,0101127470,SIGRY-Art 1250S-0101127530,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - BLANCO
,SIGRY-Art:1250S,0101127540,0101127470,SIGRY-Art 1250S-0101127540,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - NEGRO
,SIGRY-Art:1250S,0101127550,0101127470,SIGRY-Art 1250S-0101127550,T90,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - AZUL
,SIGRY-Art:1250S,0101127560,0101127470,SIGRY-Art 1250S-0101127560,T90,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - ROSA/PETALO
,SIGRY-Art:1250S,0101127570,0101127470,SIGRY-Art 1250S-0101127570,T90,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - ESMERALDA
,SIGRY-Art:1250S,0101127580,0101127470,SIGRY-Art 1250S-0101127580,T90,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - FRUTILLA
,SIGRY-Art:1250S,0101132610,0101127470,SIGRY-Art 1250S-0101132610,T90,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - AZUL
,SIGRY-Art:1250S,0101133640,0101127470,SIGRY-Art 1250S-0101133640,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - BLANCO
,SIGRY-Art:1250S,0101133680,0101127470,SIGRY-Art 1250S-0101133680,T90,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - FRUTILLA
,SIGRY-Art:1250S,0101133720,0101127470,SIGRY-Art 1250S-0101133720,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T90 - NEGRO
,SIGRY-Art:1250S,0101127590,0101127470,SIGRY-Art 1250S-0101127590,T95,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - BLANCO
,SIGRY-Art:1250S,0101127600,0101127470,SIGRY-Art 1250S-0101127600,T95,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - NEGRO
,SIGRY-Art:1250S,0101127610,0101127470,SIGRY-Art 1250S-0101127610,T95,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - AZUL
,SIGRY-Art:1250S,0101127620,0101127470,SIGRY-Art 1250S-0101127620,T95,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - ROSA/PETALO
,SIGRY-Art:1250S,0101127630,0101127470,SIGRY-Art 1250S-0101127630,T95,ESMERALDA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - ESMERALDA
,SIGRY-Art:1250S,0101127640,0101127470,SIGRY-Art 1250S-0101127640,T95,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - FRUTILLA
,SIGRY-Art:1250S,0101132620,0101127470,SIGRY-Art 1250S-0101132620,T95,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - AZUL
,SIGRY-Art:1250S,0101133650,0101127470,SIGRY-Art 1250S-0101133650,T95,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - BLANCO
,SIGRY-Art:1250S,0101133690,0101127470,SIGRY-Art 1250S-0101133690,T95,FRUTILLA,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - FRUTILLA
,SIGRY-Art:1250S,0101133730,0101127470,SIGRY-Art 1250S-0101133730,T95,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T95 - NEGRO
,SIGRY-Art:1250S,0101127650,0101127470,SIGRY-Art 1250S-0101127650,T100,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - BLANCO
,SIGRY-Art:1250S,0101127660,0101127470,SIGRY-Art 1250S-0101127660,T100,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - NEGRO
,SIGRY-Art:1250S,0101127670,0101127470,SIGRY-Art 1250S-0101127670,T100,AZUL,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - AZUL
,SIGRY-Art:1250S,0101127680,0101127470,SIGRY-Art 1250S-0101127680,T100,ROSA/PETALO,,,1.0,Y,,CONJUNTO SIGRY-Art:1250S<br />T100 - ROSA/PETALO
