Codart,Descripcion,Desc_adic,Familia,Codbarras,Marca
0101154500,338F CAMISOLIN FAIRUZ,CONJUNTO,LENCERIA,338F,FAIRUZ
0101154510,340F CAMISOLIN FAIRUZ,CONJUNTO,LENCERIA,340F,FAIRUZ
0101154520,342F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,342F,FAIRUZ
0101154530,420F CONJUNTO,CONJUNTO,LENCERIA,420F,FAIRUZ
0101154540,422F CONJUNTO,CONJUNTO,LENCERIA,422F,FAIRUZ
0101154550,424F CONJ FAIRUZ,CONJUNTO,LENCERIA,424F,FAIRUZ
0101154560,282 CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,282F,FAIRUZ
0101154570,283 CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,283F,FAIRUZ
0102005770,450F CORPIÑO AMAMANTAR FAIRUZ,CORPIÑO,LENCERIA,450F,FAIRUZ
0102005780,455F CORPIÑO AMAMANTAR FAIRUZ,CORPIÑO,LENCERIA,455F,FAIRUZ
0102008930,900M1 CORPIÑO,CORPIÑO,LENCERIA,900M1,FAIRUZ
0102008940,950M1 CORPIÑO,CONJUNTO,LENCERIA,950M1,FAIRUZ
0105012210,900M2 BOMBACHA,BOMBACHA,LENCERIA,900M2,FAIRUZ
0105012220,950M2  BOMBACHA,BOMBACHA,LENCERIA,950M2,FAIRUZ
0105026940,600F COLALESS,BOMBACHA,LENCERIA,600F,FAIRUZ
0105026950,522F COLALESS,BOMBACHA,LENCERIA,522F,FAIRUZ
0105026960,500F COLALESS,BOMBACHA,LENCERIA,500F,FAIRUZ
0105026970,510F BOMBACHA NENA,BOMBACHA,LENCERIA,510F,FAIRUZ
0105026980,511F BOMBACHA NENA,BOMBACHA,LENCERIA,511F,FAIRUZ
0105026990,512F BOMBACHA NENA,BOMBACHA,LENCERIA,512F,FAIRUZ
0105027000,516F CULOTTE,BOMBACHA,LENCERIA,516F,FAIRUZ
0105027010,517F CULOTTE,BOMBACHA,LENCERIA,517F,FAIRUZ
0105027020,521F COLALESS,BOMBACHA,LENCERIA,521F,FAIRUZ
0105027030,523F COLALESS,BOMBACHA,LENCERIA,523F,FAIRUZ
0105027040,524F COLALESS,BOMBACHA,LENCERIA,524F,FAIRUZ
0105027050,525F COLALESS,BOMBACHA,LENCERIA,525F,FAIRUZ
0105027060,526F COLALESS,BOMBACHA,LENCERIA,526F,FAIRUZ
0105027070,528F COLALESS,BOMBACHA,LENCERIA,528F,FAIRUZ
0105027080,529F COLALESS,BOMBACHA,LENCERIA,529F,FAIRUZ
0105027090,530F COLALESS,BOMBACHA,LENCERIA,530F,FAIRUZ
0105027100,533F COLALESS,BOMBACHA,LENCERIA,533F,FAIRUZ
0105027110,534F COLALESS,BOMBACHA,LENCERIA,534F,FAIRUZ
0105027120,535F COLALESS,BOMBACHA,LENCERIA,535F,FAIRUZ
0105027130,550F VEDETINA,BOMBACHA,LENCERIA,550F,FAIRUZ
0105027140,553F VEDETINA,BOMBACHA,LENCERIA,553F,FAIRUZ
0105027150,555F VEDETINA,BOMBACHA,LENCERIA,555F,FAIRUZ
0105027160,556F COLALESS,BOMBACHA,LENCERIA,556F,FAIRUZ
0105027170,558F COLALESS,BOMBACHA,LENCERIA,558F,FAIRUZ
0105027180,560F TIRO CORTO,BOMBACHA,LENCERIA,560F,FAIRUZ
0105027190,563F TIRO CORTO,BOMBACHA,LENCERIA,563F,FAIRUZ
0105027200,565F BOMB TIRO CORTO,BOMBACHA,LENCERIA,565F,FAIRUZ
0105027210,566F TIRO CORTO,BOMBACHA,LENCERIA,566F,FAIRUZ
0105027220,568F TIRO CORTO,BOMBACHA,LENCERIA,568F,FAIRUZ
0105027230,570F UNIVERSAL,BOMBACHA,LENCERIA,570F,FAIRUZ
0105027240,571F CONJ FAIRUZ,BOMBACHA,LENCERIA,571F,FAIRUZ
0105027250,573F UNIVERSAL,BOMBACHA,LENCERIA,573F,FAIRUZ
0105027260,578F UNIVERSAL,BOMBACHA,LENCERIA,578F,FAIRUZ
0105027270,580F ESPECIAL,BOMBACHA,LENCERIA,580F,FAIRUZ
0105027280,588F ESPECIAL,BOMBACHA,LENCERIA,588F,FAIRUZ
0105027290,630F COLALESS,BOMBACHA,LENCERIA,630F,FAIRUZ
0105027300,650F COLALESS,BOMBACHA,LENCERIA,650F,FAIRUZ
0105027310,660F TIRO CORTO,BOMBACHA,LENCERIA,660F,FAIRUZ
0105027320,670F UNIVERSAL,BOMBACHA,LENCERIA,670F,FAIRUZ
0105027330,680F ESPECIAL,BOMBACHA,LENCERIA,680F,FAIRUZ
0105027340,900F CULOTTE,BOMBACHA,LENCERIA,900F,FAIRUZ
0105027350,1285F,BOMBACHA,LENCERIA,1285F,FAIRUZ
0105027360,554F VEDETINA,BOMBACHA,LENCERIA,554F,FAIRUZ
0105027370,564F BOMB TIRO CORTO,BOMBACHA,LENCERIA,564F,FAIRUZ
0105027380,600PF PACK X3,BOMBACHA,LENCERIA,600PF,FAIRUZ
0105027390,101F,BOMBACHA,LENCERIA,101F,FAIRUZ
0105027400,102F,BOMBACHA,LENCERIA,102F,FAIRUZ
0105027410,515F CULOTELESS,BOMBACHA,LENCERIA,515F,FAIRUZ
0106000660,501F BOXER,BOXER,LENCERIA,501F,FAIRUZ
0107000020,333F BABYDOL TUL BORDADO,BABY DOL,LENCERIA,333F,FAIRUZ
0108000110,330F PORTALIGA POLLERA DE PUNT,PORTALIGAS,LENCERIA,330F,FAIRUZ
0108000120,331F PORTALIGA PUNTILLA REGULA,PORTALIGAS,LENCERIA,331F,FAIRUZ
0111001180,335F CAMISOLIN,CAMISOLIN,LENCERIA,335F,FAIRUZ
0112014990,500PF PACK X3,PACK,LENCERIA,500PF,FAIRUZ
0112015000,530PF COLALESS PACK X3,PACK,LENCERIA,530PF,FAIRUZ
0112015010,533PF COLALESS PACK X3,PACK,LENCERIA,533PF,FAIRUZ
0112015020,534PF COLALESS PACK X3,PACK,LENCERIA,534PF,FAIRUZ
0112017860,532F PACK X3 UNICO,COLALESS,LENCERIA,532F3UN,FAIRUZ
0708000010,440F MEDIAS PORTALIGAS,PORTALIGAS,MEDIAS,440F,FAIRUZ
0708000020,700F MEDIA FAIRUZ,CANCAN,MEDIAS,700F,FAIRUZ
