Codigo,Descripcion,DescAdic,Familia,CodBarra,Marca
0101069570,562LO CONJ LODY,,LENCERIA,562LO,LODY
0101069580,590LO CONJ LODY,,LENCERIA,590LO,LODY
0101069590,6129LO LODY,,LENCERIA,6129L,LODY
0101069600,6129LO CONJ LODY,,LENCERIA,6129LO,LODY
0101069610,6130LO CONJ LODY,,LENCERIA,6130LO,LODY
0101069620,6131LO CONJ LODY,,LENCERIA,6131LO,LODY
0101069630,6319LO CONJ LODY,,LENCERIA,6319LO,LODY
0101069640,6320LO CONJ LODY,,LENCERIA,6320LO,LODY
0101069650,6321LO CONJ LODY,,LENCERIA,6321LO,LODY
0101069660,6322LO CONJ LODY,,LENCERIA,6322LO,LODY
0101069670,6323LO CONJ LODY,,LENCERIA,6323LO,LODY
0101069680,924LO CONJ LODY,CONJUNTO,LENCERIA,924LO,LODY
0101069690,930LO CONJ LODY,CONJUNTO,LENCERIA,930LO,LODY
0101069700,936LO CONJ LODY,CONJUNTO,LENCERIA,936LO,LODY
0101069710,938LO CONJ LODY,CONJUNTO,LENCERIA,938LO,LODY
0101069720,941LO CONJ LODY,CONJUNTO,LENCERIA,941LO,LODY
0101069730,942LO CONJ LODY,CONJUNTO,LENCERIA,942LO,LODY
0101069740,943LO CONJ LODY,CONJUNTO,LENCERIA,943LO,LODY
0101069750,944LO CONJ LODY,CONJUNTO,LENCERIA,944LO,LODY
0101069760,945LO CONJ LODY,CONJUNTO,LENCERIA,945LO,LODY
0101069770,946LO CONJ LODY,CONJUNTO,LENCERIA,946LO,LODY
0101069780,947LO CONJ LODY,CONJUNTO,LENCERIA,947LO,LODY
0101069790,948LO CONJ LODY,CONJUNTO,LENCERIA,948LO,LODY
0101069800,949LO CONJ LODY,CONJUNTO,LENCERIA,949LO,LODY
0101069810,951LO CONJ LODY,CONJUNTO,LENCERIA,951LO,LODY
0101069820,952LO CONJ LODY,CONJUNTO,LENCERIA,952LO,LODY
0101069830,953LO CONJ LODY,CONJUNTO,LENCERIA,953LO,LODY
0101069840,954LO CONJ LODY,CONJUNTO,LENCERIA,954LO,LODY
0101069850,955LO CONJ LODY,CONJUNTO,LENCERIA,955LO,LODY
0101069860,956LO CONJ LODY,CONJUNTO,LENCERIA,956LO,LODY
0101069870,957LO CONJ LODY,CONJUNTO,LENCERIA,957LO,LODY
0101069880,958LO CONJ LODY,CONJUNTO,LENCERIA,958LO,LODY
0101069890,963LO CONJ LODY,CONJUNTO,LENCERIA,963LO,LODY
0101069900,965LO CONJ LODY,CONJUNTO,LENCERIA,965LO,LODY
0101069910,966LO CONJ LODY,CONJUNTO,LENCERIA,966LO,LODY
0101069920,967LO CONJ LODY,CONJUNTO,LENCERIA,967LO,LODY
0101069930,968LO CONJ LODY,CONJUNTO,LENCERIA,968LO,LODY
0101069940,969LO CONJ LODY,CONJUNTO,LENCERIA,969LO,LODY
0101069950,970LO CONJ LODY,CONJUNTO,LENCERIA,970LO,LODY
0101069960,971LO CONJ LODY,CONJUNTO,LENCERIA,971LO,LODY
0101069970,972LO CONJ LODY,CONJUNTO,LENCERIA,972LO,LODY
0101069980,973LO CONJ LODY,CONJUNTO,LENCERIA,973LO,LODY
0101069990,974LO CONJ LODY,CONJUNTO,LENCERIA,974LO,LODY
0101070000,975LO CONJ LODY,CONJUNTO,LENCERIA,975LO,LODY
0101070010,976LO CONJ LODY,CONJUNTO,LENCERIA,976LO,LODY
0101070020,977LO CONJ LODY,CONJUNTO,LENCERIA,977LO,LODY
0101070030,978LO CONJ LODY,CONJUNTO,LENCERIA,978LO,LODY
0101070040,979LO CONJ LODY,CONJUNTO,LENCERIA,979LO,LODY
0101070050,980LO CONJ LODY,CONJUNTO,LENCERIA,980LO,LODY
0101070060,981LO CONJ LODY,CONJUNTO,LENCERIA,981LO,LODY
0101070070,982LO CONJ LODY,CONJUNTO,LENCERIA,982LO,LODY
0101070080,983LO CONJ LODY,CONJUNTO,LENCERIA,983LO,LODY
0101070090,984LO CONJ LODY,CONJUNTO,LENCERIA,984LO,LODY
0101070100,985LO CONJ LODY,CONJUNTO,LENCERIA,985LO,LODY
0101070110,986LO CONJ LODY,CONJUNTO,LENCERIA,986LO,LODY
0101070120,987LO CONJ LODY,CONJUNTO,LENCERIA,987LO,LODY
0101070130,988LO CONJ LODY,CONJUNTO,LENCERIA,988LO,LODY
0101070150,990LO CONJ LODY,CONJUNTO,LENCERIA,990LO,LODY
0101070160,991LO CONJ LODY,CONJUNTO,LENCERIA,991LO,LODY
0101070170,992LO CONJ LODY,CONJUNTO,LENCERIA,992LO,LODY
0101070180,993LO CONJ LODY,CONJUNTO,LENCERIA,993LO,LODY
0101070190,994LO CONJ LODY,CONJUNTO,LENCERIA,994LO,LODY
0101070200,995LO CONJUNTO LODY,CONJUNTO,LENCERIA,995LO,LODY
0101070210,996LO CONJUNTO LODY,CONJUNTO,LENCERIA,996LO,LODY
0101070220,997LO CONJUNTO LODY,CONJUNTO,LENCERIA,997LO,LODY
0101070230,998LO CONJUNTO LODY,CONJUNTO,LENCERIA,998LO,LODY
0101070240,999LO CONJUNTO LODY,CONJUNTO,LENCERIA,999LO,LODY
0101070250,5035LO T100 AZUL,CONJUNTO,LENCERIA,L5035 100 AZ,LODY
0101070260,5035LO T100 BLANCO,CONJUNTO,LENCERIA,L5035 100 B,LODY
0101070270,5035LO T100 HUESO,CONJUNTO,LENCERIA,L5035 100 H,LODY
0101070280,5035LO T100 NEGRO,CONJUNTO,LENCERIA,L5035 100 N,LODY
0101070290,5035LO T100 PETROLEO,CONJUNTO,LENCERIA,L5035 100 PE,LODY
0101070300,5035LO T100 ROSA-CHICLE,CONJUNTO,LENCERIA,L5035 100 RCH,LODY
0101070310,5035LO T100 ROJO,CONJUNTO,LENCERIA,L5035 100 RJ,LODY
0101070320,5035LO T100 SALMON,CONJUNTO,LENCERIA,L5035 100 SA,LODY
0101070330,5035LO T100 VERDE,CONJUNTO,LENCERIA,L5035 100 VE,LODY
0101070340,5035LO T100 VIOLETA,CONJUNTO,LENCERIA,L5035 100 VI,LODY
0101070350,5035LO T100 VISON,CONJUNTO,LENCERIA,L5035 100 VN,LODY
0101070360,5035LO T85 AZUL,CONJUNTO,LENCERIA,L5035 85 AZ,LODY
0101070370,5035LO T85 BLANCO,CONJUNTO,LENCERIA,L5035 85 B,LODY
0101070380,5035LO T85 HUESO,CONJUNTO,LENCERIA,L5035 85 H,LODY
0101070400,5035LO T85 PETROLEO,CONJUNTO,LENCERIA,L5035 85 PE,LODY
0101070410,5035LO T85 ROSA-CHICLE,CONJUNTO,LENCERIA,L5035 85 RCH,LODY
0101070420,5035LO T85 ROJO,CONJUNTO,LENCERIA,L5035 85 RJ,LODY
0101070430,5035LO T85 SALMON,CONJUNTO,LENCERIA,L5035 85 SA,LODY
0101070440,5035LO T85 VERDE,CONJUNTO,LENCERIA,L5035 85 VE,LODY
0101070450,5035LO T85 VIOLETA,CONJUNTO,LENCERIA,L5035 85 VI,LODY
0101070460,5035LO T85 VISON,CONJUNTO,LENCERIA,L5035 85 VN,LODY
0101070470,5035LO T90 AZUL,CONJUNTO,LENCERIA,L5035 90 AZ,LODY
0101070480,5035LO T90 BLANCO,CONJUNTO,LENCERIA,L5035 90 B,LODY
0101070490,5035LO T90 HUESO,CONJUNTO,LENCERIA,L5035 90 H,LODY
0101070500,5035LO T90 NEGRO,CONJUNTO,LENCERIA,L5035 90 N,LODY
0101070510,5035LO T90 PETROLEO,CONJUNTO,LENCERIA,L5035 90 PE,LODY
0101070520,5035LO T90 ROSA-CHICLE,CONJUNTO,LENCERIA,L5035 90 RCH,LODY
0101070530,5035LO T90 ROJO,CONJUNTO,LENCERIA,L5035 90 RJ,LODY
0101070540,5035LO T90 SALMON,CONJUNTO,LENCERIA,L5035 90 SA,LODY
0101070550,5035LO T90 VERDE,CONJUNTO,LENCERIA,L5035 90 VE,LODY
0101070560,5035LO T90 VIOLETA,CONJUNTO,LENCERIA,L5035 90 VI,LODY
0101070570,5035LO T90 VISON,CONJUNTO,LENCERIA,L5035 90 VN,LODY
0101070580,5035LO T95 AZUL,CONJUNTO,LENCERIA,L5035 95 AZ,LODY
0101070600,5035LO T95 HUESO,CONJUNTO,LENCERIA,L5035 95 H,LODY
0101070610,5035LO T95 NEGRO,CONJUNTO,LENCERIA,L5035 95 N,LODY
0101070620,5035LO T95 PETROLEO,CONJUNTO,LENCERIA,L5035 95 PE,LODY
0101070630,5035LO T95 ROSA-CHICLE,CONJUNTO,LENCERIA,L5035 95 RCH,LODY
0101070640,5035LO T95 ROJO,CONJUNTO,LENCERIA,L5035 95 RJ,LODY
0101070650,5035LO T95 SALMON,CONJUNTO,LENCERIA,L5035 95 SA,LODY
0101070660,5035LO T95 VERDE,CONJUNTO,LENCERIA,L5035 95 VE,LODY
0101070670,5035LO T95 VIOLETA,CONJUNTO,LENCERIA,L5035 95 VI,LODY
0101070680,5035LO T95 VISON,CONJUNTO,LENCERIA,L5035 95 VN,LODY
0101070690,5035LO T105 AZUL,CONJUNTO,LENCERIA,L5035L1 105 AZ,LODY
0101070700,5035LO T105 BLANCO,CONJUNTO,LENCERIA,L5035L1 105 B,LODY
0101070710,5035LO T105 HUESO,CONJUNTO,LENCERIA,L5035L1 105 HS,LODY
0101070720,5035LO T105 NEGRO,CONJUNTO,LENCERIA,L5035L1 105 NG,LODY
0101070730,5035LO T105 PETROLEO,CONJUNTO,LENCERIA,L5035L1 105 PE,LODY
0101070740,5035LO T105 ROSA-CHICLE,CONJUNTO,LENCERIA,L5035L1 105 RC,LODY
0101070750,5035LO T105 ROJO,CONJUNTO,LENCERIA,L5035L1 105 RJ,LODY
0101070760,5035LO T105 SALMON,CONJUNTO,LENCERIA,L5035L1 105 SA,LODY
0101070770,5035LO T105 VERDE,CONJUNTO,LENCERIA,L5035L1 105 VE,LODY
0101070780,5035LO T105 VIOLETA,CONJUNTO,LENCERIA,L5035L1 105 VI,LODY
0101070790,5035LO T105 VISON,CONJUNTO,LENCERIA,L5035L1 105 VN,LODY
0101070800,5035LO T110 AZUL,CONJUNTO,LENCERIA,L5035L1 110 AZ,LODY
0101070810,5035LO T110 BLANCO,CONJUNTO,LENCERIA,L5035L1 110 B,LODY
0101070820,5035LO T110 HUESO,CONJUNTO,LENCERIA,L5035L1 110 HS,LODY
0101070830,5035LO T110 NEGRO,CONJUNTO,LENCERIA,L5035L1 110 NG,LODY
0101070840,5035LO T110 PETROLEO,CONJUNTO,LENCERIA,L5035L1 110 PE,LODY
0101070850,5035LO T110 ROSA-CHICLE,CONJUNTO,LENCERIA,L5035L1 110 RC,LODY
0101070860,5035LO T110 ROJO,CONJUNTO,LENCERIA,L5035L1 110 RJ,LODY
0101070870,5035LO T110 SALMON,CONJUNTO,LENCERIA,L5035L1 110 SA,LODY
0101070880,5035LO T110 VERDE,CONJUNTO,LENCERIA,L5035L1 110 VE,LODY
0101070890,5035LO T110 VIOLETA,CONJUNTO,LENCERIA,L5035L1 110 VI,LODY
0101070900,5035LO T110 VISON,CONJUNTO,LENCERIA,L5035L1 110 VN,LODY
0101070910,5100LO T100 BLANCO,CONJUNTO,LENCERIA,L5100 100 B,LODY
0101070920,5100LO T100 NEGRO,CONJUNTO,LENCERIA,L5100 100 N,LODY
0101070930,5100LO T85 BLANCO,CONJUNTO,LENCERIA,L5100 85 B,LODY
0101070940,5100LO T85 NEGRO,CONJUNTO,LENCERIA,L5100 85 N,LODY
0101070950,5100LO T90 BLANCO,CONJUNTO,LENCERIA,L5100 90 B,LODY
0101070960,5100LO T90 NEGRO,CONJUNTO,LENCERIA,L5100 90 N,LODY
0101070970,5100LO T95 BLANCO,CONJUNTO,LENCERIA,L5100 95 B,LODY
0101070980,5100LO T95 NEGRO,CONJUNTO,LENCERIA,L5100 95 N,LODY
0101070990,5105LO T100 BLANCO,CONJUNTO,LENCERIA,L5105 100 B,LODY
0101071000,5105LO T100 NEGRO,CONJUNTO,LENCERIA,L5105 100 N,LODY
0101071010,5105LO T100 PETROLEO,CONJUNTO,LENCERIA,L5105 100 PE,LODY
0101071020,5105LO T100 ROSA,CONJUNTO,LENCERIA,L5105 100 R,LODY
0101071030,5105LO T100 ROJO,CONJUNTO,LENCERIA,L5105 100 RJ,LODY
0101071040,5105LO T100 UVA,CONJUNTO,LENCERIA,L5105 100 U,LODY
0101071050,5105LO T100 VISON,CONJUNTO,LENCERIA,L5105 100 VN,LODY
0101071060,5105LO T85 BLANCO,CONJUNTO,LENCERIA,L5105 85 B,LODY
