Codigo,Descripcion,Desc_adic,Familia,barcode,marca
0502000190,A122 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,122A,ANDRESSA
0502000200,A123 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,123A,ANDRESSA
0502000210,A124 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,124A,ANDRESSA
0502000220,A124A2 ANDRESSA,BIKINI,TRAJES DE BAÑO,124A2,ANDRESSA
0502000230,A125 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,125A,ANDRESSA
0502000240,A126 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,126A,ANDRESSA
0502000250,A127 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,127A,ANDRESSA
0502000260,A128 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,128A,ANDRESSA
0502000270,A128 BIKINI ANDRESA,BIKINI,TRAJES DE BAÑO,128A1,ANDRESSA
0502000280,A129 BIKINI ANDRESA,BIKINI,TRAJES DE BAÑO,128A2,ANDRESSA
0502000290,A130 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,130A,ANDRESSA
0502000300,A130A1 BIKINI ANDRESA,BIKINI,TRAJES DE BAÑO,130A1,ANDRESSA
0502000310,A130A2 BIKINI ANDRESA,BIKINI,TRAJES DE BAÑO,130A2,ANDRESSA
0502000320,A133 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,133A,ANDRESSA
0502000330,A134 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,134A,ANDRESSA
0502000340,A140 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,140A,ANDRESSA
0502000350,A140A1 CORPIÑO BIKINI ANDRESSA,CORP BIKINI,TRAJES DE BAÑO,140A1,ANDRESSA
0502000360,A140A2 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,140A2,ANDRESSA
0502000370,A142A BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,142A,ANDRESSA
0502000380,A142A2 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,142A2,ANDRESSA
0502000390,A142AB  BOMBACHAS ANDRESSA,BOM BIKINI,TRAJES DE BAÑO,142AB,ANDRESSA
0502000400,A142AB1  CORPIÑO ANDRESSA,CORP BIKINI,TRAJES DE BAÑO,142AB1,ANDRESSA
0502000410,A143A BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,143A,ANDRESSA
0502000420,A143A1  CORPIÑO ANDRESSA,CORP BIKINI,TRAJES DE BAÑO,143A1,ANDRESSA
0502000430,A143A2 BIKINI ANDRESSA,BIKINI,TRAJES DE BAÑO,143A2,ANDRESSA
0502000440,A143AB  BOMBACHAS ANDRESSA,BOM BIKINI,TRAJES DE BAÑO,143AB,ANDRESSA
0502000450,A143AB1  CORPIÑO ANDRESSA,CORP,TRAJES DE BAÑO,143AB1,ANDRESSA
0502000460,A105AB BOMBACHA,BOMBACHA,TRAJES DE BAÑO,105AB,ANDRESSA
0502000470,A105AC CORPIÑO,BOMBACHA,TRAJES DE BAÑO,105AC,ANDRESSA
0502000480,A106AB BOMBACHA,BOMBACHA,TRAJES DE BAÑO,106AB,ANDRESSA
0502000490,A106AC CORPIÑO,BOMBACHA,TRAJES DE BAÑO,106AC,ANDRESSA
0502000500,A113AB BOMBACHA,BOMBACHA,TRAJES DE BAÑO,113AB,ANDRESSA
0502000510,A113AC CORPIÑO,BOMBACHA,TRAJES DE BAÑO,113AC,ANDRESSA
0502000520,A134AB BOMBACHA,BOMBACHA,TRAJES DE BAÑO,134AB,ANDRESSA
0502000530,A134AC CORPIÑO,BOMBACHA,TRAJES DE BAÑO,134AC,ANDRESSA
0507004740,A000A  BOMBACHAS,BIKINI,TRAJES DE BAÑO,000A,ANDRESSA
0602000190,A0310 PIJAMA ANDRESSA,PIJAMA,ROPA DE DORMIR,A0310,ANDRESSA
0602000200,A0311 PIJAMA ANDRESSA,PIJAMA,ROPA DE DORMIR,A0311,ANDRESSA
