virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,,
2731,TIENTO-Art:2000T,0112014690,,TIENTO-Art 2000T-0112014690,PACK,COLALESS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,PACK TIENTO-Art:2000T<br /><p>PACK X 3 COLA LESS DE MICROFIBRA<br /> TALLE UNICO<br /> Colores: BLANCO - NEGRO - NOUGAT</p>
,TIENTO-Art:2034T,0101148640,,TIENTO-Art 2034T-0101148640,TIENTO,CONJ.,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,N,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:2034T<br />TIENTO - CONJ.
2725,TIENTO-Art:203T,0101136820,,TIENTO-Art 203T-0101136820,T1,MELANGE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CONJUNTO TIENTO-Art:203T<br />CONJUNTO TAZA SOFT CON BASE Y COLA LESS DE ALGODON LYCRA® <br />
Talles: 1 - 2 - 3 - 4 <br /> 
Colores: MELANGE"
,TIENTO-Art:203T,0101136830,0101136820,TIENTO-Art 203T-0101136830,T2,MELANGE,,,1.0,Y,,
,TIENTO-Art:203T,0101136840,0101136820,TIENTO-Art 203T-0101136840,T3,MELANGE,,,1.0,Y,,
,TIENTO-Art:203T,0101136850,0101136820,TIENTO-Art 203T-0101136850,T4,MELANGE,,,1.0,Y,,
,TIENTO-Art:204T,0101136870,,TIENTO-Art 204T-0101136870,T1,CORAL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:204T<br />T1 - CORAL
,TIENTO-Art:204T,0101136860,0101136870,TIENTO-Art 204T-0101136860,T1,NEGRO,,,1.0,Y,,
,TIENTO-Art:204T,0101136890,0101136870,TIENTO-Art 204T-0101136890,T2,CORAL,,,1.0,Y,,
,TIENTO-Art:204T,0101136880,0101136870,TIENTO-Art 204T-0101136880,T2,NEGRO,,,1.0,Y,,
,TIENTO-Art:204T,0101136910,0101136870,TIENTO-Art 204T-0101136910,T3,CORAL,,,1.0,Y,,
,TIENTO-Art:204T,0101136900,0101136870,TIENTO-Art 204T-0101136900,T3,NEGRO,,,1.0,Y,,
,TIENTO-Art:204T,0101136930,0101136870,TIENTO-Art 204T-0101136930,T4,CORAL,,,1.0,Y,,
,TIENTO-Art:204T,0101136920,0101136870,TIENTO-Art 204T-0101136920,T4,NEGRO,,,1.0,Y,,
,TIENTO-Art:204T,0101148650,0101136870,TIENTO-Art 204T-0101148650,TIENTO,CONJ.,,,1.0,N,,
