Codart,Descripcion,Desc_adic,Familia,Codbarra,MARCELA KOURY
0101098240,5312MK T95 BLANCO,CONJUNTO,LENCERIA,53120401,MARCELA KOURY
0101098250,5312MK T95 HUESO,CONJUNTO,LENCERIA,53120402,MARCELA KOURY
0101098260,5312MK T95 NEGRO,CONJUNTO,LENCERIA,53120403,MARCELA KOURY
0101098270,5312MK T95 NGRO-ESMERALDA,CONJUNTO,LENCERIA,53120423,MARCELA KOURY
0101098280,5312MK T95 BCO-ESMERALDA,CONJUNTO,LENCERIA,53120438,MARCELA KOURY
0101098290,5313MK T85 BLANCO,CONJUNTO,LENCERIA,53130201,MARCELA KOURY
0101098300,5313MK T85 HUESO,CONJUNTO,LENCERIA,53130202,MARCELA KOURY
0101098310,5313MK T85 NEGRO,CONJUNTO,LENCERIA,53130203,MARCELA KOURY
0101098320,5313MK T85 BCO-ESMERALDA,CONJUNTO,LENCERIA,53130238,MARCELA KOURY
0101098330,5313MK T90 BLANCO,CONJUNTO,LENCERIA,53130301,MARCELA KOURY
0101098340,5313MK T90 HUESO,CONJUNTO,LENCERIA,53130302,MARCELA KOURY
0101098350,5313MK T90 NEGRO,CONJUNTO,LENCERIA,53130303,MARCELA KOURY
0101098360,5313MK T90 BCO-ESMERALDA,CONJUNTO,LENCERIA,53130338,MARCELA KOURY
0101098370,5313MK T95 BLANCO,CONJUNTO,LENCERIA,53130401,MARCELA KOURY
0101098380,5313MK T95 HUESO,CONJUNTO,LENCERIA,53130402,MARCELA KOURY
0101098390,5313MK T95 NEGRO,CONJUNTO,LENCERIA,53130403,MARCELA KOURY
0101098400,5313MK T95 BCO-ESMERALDA,CONJUNTO,LENCERIA,53130438,MARCELA KOURY
0101098410,5313MK T100 BLANCO,CONJUNTO,LENCERIA,53130501,MARCELA KOURY
0101098420,5313MK T100 HUESO,CONJUNTO,LENCERIA,53130502,MARCELA KOURY
0101098430,5313MK T100 NEGRO,CONJUNTO,LENCERIA,53130503,MARCELA KOURY
0101098440,5313MK T100 BCO-ESMERALDA,CONJUNTO,LENCERIA,53130538,MARCELA KOURY
