codigo,Descripcion,Desc_adicional,Familia,agrupacion,Cod_barras
0201030400,1316XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13163006
0201030410,1316XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13164003
0201030420,1316XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13165000
0201030430,1317XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13171001
0201030440,1317XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13172008
0201030450,1317XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13173005
0201030460,1317XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13174002
0201030470,1317XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13175009
0201030480,1318XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13181000
0201030490,1318XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13182007
0201030500,1318XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13183004
0201030510,1318XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13184001
0201030520,1318XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13185008
0201030530,1320XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13201005
0201030540,1320XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13202002
0201030550,1320XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13203009
0201030560,1320XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13204005
0201030570,1320XY  TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13204006
0201030580,1320XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13205003
0201030590,1321XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13211004
0201030600,1321XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13212001
0201030610,1321XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13213008
0201030620,1321XY TXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13214005
0201030630,1321XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13215002
0201030640,1322XY TS,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13221003
0201030650,1322XY TM,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13222000
0201030660,1322XY TL,BOXER,LINEA UNDERWARE HOMBRE,BOXER,13223007
