Codart,Descripcion,Descadicional,Familia,Codbarras,Descagrupacion,marca
0401000640,SA ARCOIRIS 180 JDC 1 LUPE,AIA18JDCR1LUPE,BLANQUERIA,7794170012071,SABANA,arcoiris
0401000650,SA ARCOIRIS 180 JDC 1 NOMA,AIA18JDCR1NOMA,BLANQUERIA,7794170012088,SABANA,arcoiris
0401000660,SA ARCOIRIS 180 JDC 1 REGINA,AIA18JDCR1REGINA,BLANQUERIA,7794170012095,SABANA,arcoiris
0401000670,SA ARCOIRIS 180 JDC 1 VOLPI,AIA18JDCR1VOLPI,BLANQUERIA,7794170012101,SABANA,arcoiris
0401000680,SA ARCOIRIS 180 JDC 2 CHARO,AIA18JDCR2CHARO,BLANQUERIA,7794170012118,SABANA,arcoiris
0401000690,SA ARCOIRIS 180 JDC 2 PORTLAND,AIA18JDCR2PORTLA,BLANQUERIA,7794170012125,SABANA,arcoiris
0401000700,SA ARCOIRIS 180 JDC 2 TORONTO,AIA18JDCR2TORONT,BLANQUERIA,7794170012132,SABANA,arcoiris
0401000710,SA ARCOIRIS 180 JDK 1 LUPE,AIA18JDKR1LUPE,BLANQUERIA,7794170012149,SABANA,arcoiris
0401000720,SA ARCOIRIS 180 JDK 1 NOMA,AIA18JDKR1NOMA,BLANQUERIA,7794170012156,SABANA,arcoiris
0401000730,SA ARCOIRIS 180 JDK 1 REGINA,AIA18JDKR1REGINA,BLANQUERIA,7794170012163,SABANA,arcoiris
0401000740,SA ARCOIRIS 180 JDK 1 VOLPI,AIA18JDKR1VOLPI,BLANQUERIA,7794170012170,SABANA,arcoiris
0401000750,SA ARCOIRIS 180 JDK 2 CHARO,AIA18JDKR2CHARO,BLANQUERIA,7794170012187,SABANA,arcoiris
0401000760,SA ARCOIRIS 180 JDK 2 PORTLAND,AIA18JDKR2PORTLA,BLANQUERIA,7794170012194,SABANA,arcoiris
0401000770,SA ARCOIRIS 180 JDK 2 TORONTO,AIA18JDKR2TORONT,BLANQUERIA,7794170012200,SABANA,arcoiris
0401000780,SA ARCOIRIS 180 JDQ 1 LUPE,AIA18JDQR1LUPE,BLANQUERIA,7794170012217,SABANA,arcoiris
0401000790,SA ARCOIRIS 180 JDQ 1 NOMA,AIA18JDQR1NOMA,BLANQUERIA,7794170012224,SABANA,arcoiris
0401000800,SA ARCOIRIS 180 JDQ 1 REGINA,AIA18JDQR1REGINA,BLANQUERIA,7794170012231,SABANA,arcoiris
0401000810,SA ARCOIRIS 180 JDQ 1 VOLPI,AIA18JDQR1VOLPI,BLANQUERIA,7794170012248,SABANA,arcoiris
0401000820,SA ARCOIRIS 180 JDQ 2 CHARO,AIA18JDQR2CHARO,BLANQUERIA,7794170012255,SABANA,arcoiris
0401000830,SA ARCOIRIS 180 JDQ 2 PORTLAND,AIA18JDQR2PORTLA,BLANQUERIA,7794170012262,SABANA,arcoiris
0401000840,SA ARCOIRIS 180 JDQ 2 TORONTO,AIA18JDQR2TORONT,BLANQUERIA,7794170012279,SABANA,arcoiris
0401000850,SABANAS 200 HILOS ARCO IRIS BL,AIB20JDCR0001,BLANQUERIA,7794170012392,SABANA,arcoiris
0401000860,SABANAS 200 HILOS ARCO IRIS BL,AIB20JDKR0001,BLANQUERIA,7794170012408,SABANA,arcoiris
0401000870,SABANAS 200 HILOS ARCO IRIS BL,AIB20JDQR0001,BLANQUERIA,7794170012415,SABANA,arcoiris
0401000880,SAS ARCOIRIS 180 JDX 1 LUPE,AIA18JDXR1LUPE,BLANQUERIA,7794170012958,SABANA,arcoiris
0401000890,SAS ARCOIRIS 180 JDX 1 NOMA,AIA18JDXR1NOMA,BLANQUERIA,7794170012965,SABANA,arcoiris
0401000900,SAS ARCOIRIS 180 JDX 1 REGINA,AIA18JDXR1REGINA,BLANQUERIA,7794170012972,SABANA,arcoiris
0401000910,SAS ARCOIRIS 180 JDX 2 CHARO,AIA18JDXR2CHARO,BLANQUERIA,7794170012989,SABANA,arcoiris
0401000920,SAS ARCOIRIS 180 JDX 2 PORTLAN,AIA18JDXR2PORTLA,BLANQUERIA,7794170012996,SABANA,arcoiris
0401000930,SAS ARCOIRIS 180 JDX 2 TORONTO,AIA18JDXR2TORONT,BLANQUERIA,7794170013009,SABANA,arcoiris
0401000940,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1ASTOR,BLANQUERIA,7794170013016,SABANA,arcoiris
0401000950,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1FREY,BLANQUERIA,7794170013023,SABANA,arcoiris
0401000960,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1HANNA,BLANQUERIA,7794170013030,SABANA,arcoiris
0401000970,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1KERRY,BLANQUERIA,7794170013047,SABANA,arcoiris
0401000980,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1LIAM,BLANQUERIA,7794170013054,SABANA,arcoiris
0401000990,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1MARLO,BLANQUERIA,7794170013061,SABANA,arcoiris
0401001000,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1OLIVIA,BLANQUERIA,7794170013078,SABANA,arcoiris
0401001010,SAS 180 H BORDE 100% ALG JDX 1,AIB18JDXR1SELBY,BLANQUERIA,7794170013085,SABANA,arcoiris
0401001020,SAS ARCOIRIS 180 JDX 1,AIJ18JDXR1CHARLO,BLANQUERIA,7794170013092,SABANA,arcoiris
0401001030,SAS ARCOIRIS 180 JDX 1 LOLO,AIJ18JDXR1LOLO,BLANQUERIA,7794170013108,SABANA,arcoiris
0401001040,SAS ARCOIRIS 180 JDX 1 TATI,AIJ18JDXR1TATI,BLANQUERIA,7794170013115,SABANA,arcoiris
