CodArt,Descripcion,Desc_adicional,Familia,CodigoBarras,agrupacion,marca
0401005540,SABANAS 1 1/2 SANTISTA,SA180JDSR2PUKET,BLANQUERIA,7794170015409,SABANA,santista
0401005690,SABANA KAMACOLOR KING  150HILO,KAMIXJDKR1JOHN,BLANQUERIA,7794170023930,SABANA,santista
0401005840,SABANA KAMACOLOR 2 1/2 PLAZA C,KAMIXJDCR1CAPRI,BLANQUERIA,7794170024296,SABANA,santista
0401005850,SABANA KAMACOLOR 2 1/2 PLAZA C,KAMIXJDCR1CARTER,BLANQUERIA,7794170024302,SABANA,santista
0401005860,SABANA KAMACOLOR 2 1/2 PLAZA D,KAMIXJDCR1DYLAN,BLANQUERIA,7794170024319,SABANA,santista
0401005870,SABANA KAMACOLOR 2 1/2 PLAZA H,KAMIXJDCR1HAYA,BLANQUERIA,7794170024333,SABANA,santista
0401005880,SABANA KAMACOLOR 2 1/2 PLAZA J,KAMIXJDCR1JOHN,BLANQUERIA,7794170024340,SABANA,santista
0401005890,SABANA KAMACOLOR 1 1/2 PLAZA C,KAMIXJDSR1CAPRI,BLANQUERIA,7794170024432,SABANA,santista
0401005900,SABANA KAMACOLOR 1 1/2 CARTER,KAMIXJDSR1CARTER,BLANQUERIA,7794170024449,SABANA,santista
0401005910,SABANA KAMACOLOR 1 1/2 PLAZA D,KAMIXJDSR1DYLAN,BLANQUERIA,7794170024456,SABANA,santista
0401005920,SABANA SANTISTA 2 1/2 PLAZA RA,SA180JDCR1RABAT,BLANQUERIA,7794170024630,SABANA,santista
0401005930,SABANA UNQUE 2 1/2 LUCIANA 2,SA180JDCR2LUCIAN,BLANQUERIA,7794170024654,SABANA,santista
0401005940,SABANA UNIQUE 2 1/2 PLAZA PERC,SA180JDCR2SONIA,BLANQUERIA,7794170024661,SABANA,santista
0401005950,SABANA UNIQUE 2 1/2 WAVE 2,SA180JDCR2WAVE,BLANQUERIA,7794170024678,SABANA,santista
0401005960,SABANA SANTISTA KING SONIA,SA180JDKR2SONIA,BLANQUERIA,7794170024722,SABANA,santista
0401005970,SABANA SANTISTA QUEEN WAVE 2,SA180JDQR2WAVE,BLANQUERIA,7794170024791,SABANA,santista
0401005980,SABANA UNIQUE 1 1/2 PLAZA MALT,SA180JDSR1MALTA,BLANQUERIA,7794170024807,SABANA,santista
0401005990,SABANA UNIQUE 1 1/2 PLAZA RABA,SA180JDSR1RABAT,BLANQUERIA,7794170024814,SABANA,santista
0401006000,SABANA UNQUE 1 1/2 LUCIANA 2,SA180JDSR2LUCIAN,BLANQUERIA,7794170024838,SABANA,santista
0401006010,SABANA UNIQUE 1 1/2 PLAZA PERC,SA180JDSR2SONIA,BLANQUERIA,7794170024845,SABANA,santista
0401006020,SABANA UNIQUE 1 1/2 PLAZA WAVE,SA180JDSR2WAVE,BLANQUERIA,7794170024852,SABANA,santista
0401006040,SA UNIQUE JDC 1 ARON GRIS,SA180JDCR1ARON,BLANQUERIA,7798180148461,SABANA,santista
0401006050,SA UNIQUE JDC 1 BOND AZUL,SA180JDCR1BOND,BLANQUERIA,7798180148478,SABANA,santista
0401006060,SA UNIQUE JDC 1 ELISE SALMON,SA180JDCR1ELISE,BLANQUERIA,7798180148485,SABANA,santista
0401006070,SA UNIQUE JDC 1 ROBERTA LILA,SA180JDCR1ROBERT,BLANQUERIA,7798180148492,SABANA,santista
0401006080,SA UNIQUE JDC 1 WORK MARINO,SA180JDCR1WORK,BLANQUERIA,7798180148508,SABANA,santista
0401006090,SA UNIQUE JDC 2 KARINA AZUL,SA180JDCR2KARINA,BLANQUERIA,7798180148515,SABANA,santista
0401006100,SA UNIQUE JDQ 1 ELISE SALMON,SA180JDQR1ELISE,BLANQUERIA,7798180148607,SABANA,santista
0401006110,SA UNIQUE JDQ 1 ROBERTA LILA,SA180JDQR1ROBERT,BLANQUERIA,7798180148614,SABANA,santista
0401006120,SA UNIQUE JDQ 1 WORK MARINO,SA180JDQR1WORK,BLANQUERIA,7798180148621,SABANA,santista
0401006130,SA UNIQUE JDQ 2 KARINA AZUL,SA180JDQR2KARINA,BLANQUERIA,7798180148638,SABANA,santista
0401006140,SA UNIQUE JDS 1 ARON GRIS,SA180JDSR1ARON,BLANQUERIA,7798180148645,SABANA,santista
0401006150,SA UNIQUE JDS 1 BOND AZUL,SA180JDSR1BOND,BLANQUERIA,7798180148652,SABANA,santista
0401006160,SA UNIQUE JDS 1 ELISE SALMON,SA180JDSR1ELISE,BLANQUERIA,7798180148669,SABANA,santista
0401006170,SA UNIQUE JDS 1 ROBERTA LILA,SA180JDSR1ROBERT,BLANQUERIA,7798180148676,SABANA,santista
0401006180,SA UNIQUE JDS 1 WORK MARINO,SA180JDSR1WORK,BLANQUERIA,7798180148683,SABANA,santista
0401006190,SA UNIQUE JDS 2 KARINA AZUL,SA180JDKR2KARINA,BLANQUERIA,7798180148690,SABANA,santista
0401006210,SABANA KAMACOLOR QUEEN CAPRI,KAMIXJDQR1CAPRI,BLANQUERIA,7794170024364,SABANA,santista
0401006570,SABANA KAMACOLOR QUEEN DYLAN,KAMIXJDQR1DYLAN,BLANQUERIA,7794170024388,SABANA,santista
0401006580,SABANA KAMACOLOR QUEEN JHON,KAMIXJDQR1JOHN,BLANQUERIA,7794170024418,SABANA,santista
0401006750,SABANA UNIQUE PERCALE QUEEN LU,SA180JDQR2LUCIAN,BLANQUERIA,7794170024777,SABANA,santista
0401006760,SA 1 1/2 PLAZA SANTISTA 180H,SA180JDSR2WOOD,BLANQUERIA,7794170015416,SABANA,santista
0401006770,SABANA UNIQUE PERCALE QUEEN SO,SA180JDQR2SONIA,BLANQUERIA,7794170024784,SABANA,santista
0401006780,SABANA UNIQUE KING WAVE 2,SA180JDKR2WAVE,BLANQUERIA,7794170024739,SABANA,santista
0401006790,SABANA UNIQUE QUEEN MALTA 1,SA180JDQR1MALTA,BLANQUERIA,7794170024746,SABANA,santista
0401006800,SA 1 1/2 150 HILOS MOSUL KAMAC,KAMIXJDSR1MOSUL,BLANQUERIA,7794170024494,SABANA,santista
0401006810,SA SANTISTA KAMACOLOR 150H 1 1,KAMIXJDSR1JOHN,BLANQUERIA,7794170024487,SABANA,santista
0401006960,SABANA SANTISTA 2 1/2 PLAZA MA,SA180JDC,BLANQUERIA,7794170024623,SABANA,santista
0401006970,SABANA 1 1/2 KAMACOLOR HAYA,KAMIXJDSR1HAYA,BLANQUERIA,7794170024470,SABANA,santista
0401006980,SABANA KAMACOLOR QUEEN FANNY 1,KAMIXJDQR1FANN,BLANQUERIA,7794170024395,SABANA,santista
0401006990,SABANA KAMACOLOR 1 1/2 FANNY 1,KAMIXJDSR1FANN,BLANQUERIA,7794170024463,SABANA,santista
0401007000,SABANA UNIQUE QUEEN RABAT 1,SA180JDQR1RABA,BLANQUERIA,7794170024753,SABANA,santista
