Codart,Descripcion,Descadic,Familia,CodBarra,agrupacion,marca
0402009060,TOALHA PALETTE FIO PENTEADO 50,PAL50JROJHEL6238,BLANQUERIA,7892949411565,TOALLA,palette
0402009070,TOALHA PALETTE JBAL0001,PAL42JBAJBAL0001,BLANQUERIA,7892949411718,TOALLA,palette
0402009080,TOALHA PALETTE JBAL5130,PAL42JBAJBAL5130,BLANQUERIA,7892949411725,TOALLA,palette
0402009090,TOALHA PALETTE JBAL6662,PAL42JBAJBAL6662,BLANQUERIA,7892949411732,TOALLA,palette
0402009100,TOALHA PALETTE JBAL7336,PAL42JBAJBAL7336,BLANQUERIA,7892949411749,TOALLA,palette
0402009110,TOALHA PALETTE JBAL7350,PAL42JBAJBAL7350,BLANQUERIA,7892949411756,TOALLA,palette
0402009120,TOALHA PALETTE JGEO0001,PAL42JBAJGEO0001,BLANQUERIA,7892949411763,TOALLA,palette
0402009130,TOALHA PALETTEJGEO3371,PAL42JBAJGEO3371,BLANQUERIA,7892949411770,TOALLA,palette
0402009140,TOALHA PALETTE JGEO6322,PAL42JBAJGEO6322,BLANQUERIA,7892949411787,TOALLA,palette
0402009150,TOALHA PALETTE JGEO6398,PAL42JBAJGEO6398,BLANQUERIA,7892949411794,TOALLA,palette
0402009160,TOALHA PALETTE JGEO9059,PAL42JBAJGEO9059,BLANQUERIA,7892949411800,TOALLA,palette
0402009170,TOALHA PALETTE URBAN JBAL0001,PAL42JROJBAL0001,BLANQUERIA,7892949411817,TOALLA,palette
0402009180,TOALHA PALETTE URBAN JBAL5130,PAL42JROJBAL5130,BLANQUERIA,7892949411824,TOALLA,palette
0402009190,TOALHA PALETTE URBAN JBAL6662,PAL42JROJBAL6662,BLANQUERIA,7892949411831,TOALLA,palette
0402009200,TOALHA PALETTE URBAN JBAL7336,PAL42JROJBAL7336,BLANQUERIA,7892949411848,TOALLA,palette
0402009210,TOALHA PALETTE URBAN JBAL7350,PAL42JROJBAL7350,BLANQUERIA,7892949411855,TOALLA,palette
0402009220,TOALHA PALETTE URBAN JGEO0001,PAL42JROJGEO0001,BLANQUERIA,7892949412296,TOALLA,palette
0402009230,TOALHA PALETTE URBAN JGEO3371,PAL42JROJGEO3371,BLANQUERIA,7892949412302,TOALLA,palette
0402009240,TOALHA PALETTE URBAN JGEO6322,PAL42JROJGEO6322,BLANQUERIA,7892949412319,TOALLA,palette
0402009250,TOALHA PALETTE URBAN JGEO6398,PAL42JROJGEO6398,BLANQUERIA,7892949412326,TOALLA,palette
0402009260,TOALHA PALETTE URBAN JGEO9059,PAL42JROJGEO9059,BLANQUERIA,7892949412333,TOALLA,palette
0402009270,TOALLON PALETTE URBAN MALTA BO,PAL42JBAJMAL4032,BLANQUERIA,7892949510152,TOALLA,palette
0402009280,TOALLON PALETTE URBAN MALTA AZ,PAL42JBAJMAL6122,BLANQUERIA,7892949510169,TOALLA,palette
0402009290,TOALLON PALETTE URBAN MALTA GR,PAL42JBAJMAL6333,BLANQUERIA,7892949510176,TOALLA,palette
0402009300,TOALLON PALETTE URBAN MALTA VE,PAL42JBAJMAL7292,BLANQUERIA,7892949510183,TOALLA,palette
0402009310,TOALLON PALETTE URBAN SANTI AM,PAL42JBAJSAN1237,BLANQUERIA,7892949510206,TOALLA,palette
0402009320,TOALLON PALETTE URBAN SANTI RO,PAL42JBAJSAN3324,BLANQUERIA,7892949510213,TOALLA,palette
0402009330,TOALLON PALETTE URBAN SANTI LA,PAL42JBAJSAN6690,BLANQUERIA,7892949510220,TOALLA,palette
0402009340,TOALLON PALETTE URBAN SANTI VE,PAL42JBAJSAN7799,BLANQUERIA,7892949510237,TOALLA,palette
0402009350,TOALLA PALETTE URBAN MALTA BOR,PAL42JROJMAL4032,BLANQUERIA,7892949511258,TOALLA,palette
0402009360,TOALLA PALETTE URBAN MALTA AZU,PAL42JROJMAL6122,BLANQUERIA,7892949511265,TOALLA,palette
0402009370,TOALLA PALETTE URBAN MALTA GRI,PAL42JROJMAL6333,BLANQUERIA,7892949511272,TOALLA,palette
0402009380,TOALLA PALETTE URBAN MALTA VER,PAL42JROJMAL7292,BLANQUERIA,7892949511289,TOALLA,palette
0402009390,TOALLA PALETTE URBAN SANTI AMA,PAL42JROJSAN1237,BLANQUERIA,7892949511302,TOALLA,palette
0402009400,TOALLA PALETTE URBAN SANTI ROS,PAL42JROJSAN3324,BLANQUERIA,7892949511319,TOALLA,palette
0402009410,TOALLA PALETTE URBAN SANTI LAV,PAL42JROJSAN6690,BLANQUERIA,7892949511326,TOALLA,palette
0402009420,TOALLA PALETTE URBAN SANTI VER,PAL42JROJSAN7799,BLANQUERIA,7892949511333,TOALLA,palette
