Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0201031350,1374XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13744007,XY
0201031360,1374XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13745004,XY
0201031370,1386XY TS,BOXER,LINEA UNDERWARE HOMBRE,13861001,XY
0201031380,1386XY TM,BOXER,LINEA UNDERWARE HOMBRE,13862008,XY
0201031390,1386XY TL,BOXER,LINEA UNDERWARE HOMBRE,13863005,XY
0201031400,1386XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13864002,XY
0201031410,1386XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13865009,XY
0201031420,1387XY TS,BOXER,LINEA UNDERWARE HOMBRE,13871000,XY
0201031430,1387XY TM,BOXER,LINEA UNDERWARE HOMBRE,13872007,XY
0201031440,1387XY TL,BOXER,LINEA UNDERWARE HOMBRE,13873004,XY
0201031450,1387XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13874001,XY
0201031460,1387XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13875008,XY
0201031470,1387XY  TXXXL,BOXER,LINEA UNDERWARE HOMBRE,13876005,XY
0201031480,1388XY TS,BOXER,LINEA UNDERWARE HOMBRE,13881009,XY
0201031490,1388XY TM,BOXER,LINEA UNDERWARE HOMBRE,13882006,XY
0201031500,1388XY TL,BOXER,LINEA UNDERWARE HOMBRE,13883003,XY
0201031510,1388XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13884000,XY
0201031520,1388XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13885007,XY
0201031530,1389XY TS,BOXER,LINEA UNDERWARE HOMBRE,13891008,XY
0201031540,1389XY TM,BOXER,LINEA UNDERWARE HOMBRE,13892005,XY
0201031550,1389XY TL,BOXER,LINEA UNDERWARE HOMBRE,13893002,XY
0201031560,1389XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13894009,XY
0201031570,1389XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13895006,XY
0201031580,1390XY TS,BOXER,LINEA UNDERWARE HOMBRE,13901004,XY
0201031590,1390XY TM,BOXER,LINEA UNDERWARE HOMBRE,13902001,XY
0201031600,1390XY TL,BOXER,LINEA UNDERWARE HOMBRE,13903008,XY
0201031610,1390XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13904005,XY
0201031620,1390XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13905002,XY
0201031630,1396XY TS,BOXER,LINEA UNDERWARE HOMBRE,13961008,XY
0201031640,1396XY TM,BOXER,LINEA UNDERWARE HOMBRE,13962005,XY
0201031650,1396XY TL,BOXER,LINEA UNDERWARE HOMBRE,13963002,XY
0201031660,1396XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13964009,XY
0201031670,1396XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13965006,XY
0201031680,1397XY TS,BOXER,LINEA UNDERWARE HOMBRE,13971007,XY
0201031690,1397XY TM,BOXER,LINEA UNDERWARE HOMBRE,13972004,XY
0201031700,1397XY TL,BOXER,LINEA UNDERWARE HOMBRE,13973001,XY
0201031710,1397XY TXL,BOXER,LINEA UNDERWARE HOMBRE,13974008,XY
0201031720,1397XY TXXL,BOXER,LINEA UNDERWARE HOMBRE,13975005,XY
0201031730,1600XY TS,BOXER,LINEA UNDERWARE HOMBRE,16001008,XY
0201031740,1600XY TM,BOXER,LINEA UNDERWARE HOMBRE,16002005,XY
