cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0101044350,301F CONJ FAIRUZ,CONJUNTO,LENCERIA,301F,fairuz
0101044360,303F CONJ FAIRUZ,CONJUNTO,LENCERIA,303F,fairuz
0101044370,305F CONJ FAIRUZ,CONJUNTO,LENCERIA,305F,fairuz
0101044380,308F CONJ FAIRUZ,CONJUNTO,LENCERIA,308F,fairuz
0101044390,320F CONJ FAIRUZ,CONJUNTO,LENCERIA,320F,fairuz
0101044400,425F CONJUNTO,CONJUNTO,LENCERIA,425F,fairuz
0101044410,426F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,426F,fairuz
0101154140,2090F CONJ FAIRUZ,CONJUNTO,LENCERIA,2090F,fairuz
0101154150,2091F CONJ FAIRUZ,CONJUNTO,LENCERIA,2091F,fairuz
0101154160,210F CONJ FAIRUZ,CONJUNTO,LENCERIA,210F,fairuz
0101154170,211F CONJUNTO,CONJUNTO,LENCERIA,211F,fairuz
0101154180,214F CONJ FAIRUZ,CONJUNTO,LENCERIA,214F,fairuz
0101154190,215F FAIRUS,CONJUNTO,LENCERIA,215F,fairuz
0101154200,217F CONJ FAIRUZ,CONJUNTO,LENCERIA,217F,fairuz
0101154210,241F CONJ FAIRUZ,CONJUNTO,LENCERIA,241F,fairuz
0101154220,242F CONJ FAIRUZ,CONJUNTO,LENCERIA,242F,fairuz
0101154230,245F CONJ FAIRUZ,CONJUNTO,LENCERIA,245F,fairuz
0101154240,249F CONJ FAIRUZ,CONJUNTO,LENCERIA,249F,fairuz
0101154250,252F CONJ FAIRUZ,CONJUNTO,LENCERIA,252F,fairuz
0101154260,254F CONJ FAIRUZ,CONJUNTO,LENCERIA,254F,fairuz
0101154270,255F CONJ FAIRUZ,CONJUNTO,LENCERIA,255F,fairuz
0101154280,256F CONJ FAIRUZ,CONJUNTO,LENCERIA,256F,fairuz
0101154290,258F CONJ FAIRUZ,CONJUNTO,LENCERIA,258F,fairuz
0101154300,262F CONJ FAIRUZ,CONJUNTO,LENCERIA,262F,fairuz
0101154310,263F CONJ FAIRUZ,CONJUNTO,LENCERIA,263F,fairuz
0101154320,264F CONJ FAIRUZ,CONJUNTO,LENCERIA,264F,fairuz
0101154330,265F CONJ FAIRUZ,CONJUNTO,LENCERIA,265F,fairuz
0101154340,268 CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,268F,fairuz
0101154350,271F CONJ FAIRUZ,CONJUNTO,LENCERIA,271F,fairuz
0101154360,277F CONJ FAIRUZ,CONJUNTO,LENCERIA,277F,fairuz
0101154370,280F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,280F,fairuz
0101154380,284F CONJ FAIRUZ,CONJUNTO,LENCERIA,284F,fairuz
0101154390,290F,CONJUNTO,LENCERIA,290F,fairuz
0101154400,292F CONJ FAIRUZ,CONJUNTO,LENCERIA,292F,fairuz
0101154410,293F CONJ FAIRUZ,CONJUNTO,LENCERIA,293F,fairuz
0101154420,294F CONJ FAIRUZ,CONJUNTO,LENCERIA,294F,fairuz
0101154430,295F CONJ FAIRUZ,CONJUNTO,LENCERIA,295F,fairuz
0101154440,296F CONJ FAIRUZ,CONJUNTO,LENCERIA,296F,fairuz
0101154450,297F CONJ FAIRUZ,CONJUNTO,LENCERIA,297F,fairuz
0101154460,298F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,298F,fairuz
0101154470,299F CONJ FAIRUZ,CONJUNTO,LENCERIA,299F,fairuz
0101154480,302F CONJ FAIRUZ,CONJUNTO,LENCERIA,302F,fairuz
0101154490,307F CONJ. FAIRUZ,CONJUNTO,LENCERIA,307F,fairuz
0101154500,338F CAMISOLIN FAIRUZ,CONJUNTO,LENCERIA,338F,fairuz
0101154510,340F CAMISOLIN FAIRUZ,CONJUNTO,LENCERIA,340F,fairuz
0101154520,342F CONJUNTO FAIRUZ,CONJUNTO,LENCERIA,342F,fairuz
