Cod_articulo,Descripcion,Desc_adicional,Codigo_de_Barras
0602036940,L9780 TXL NEGRO,PIJAMA,191897801584
0602036950,L9381 TM PANTALON ESCOCES,PANTALON,1918938182
0602036960,L9381 TXL PANTALON ESCOCES,PANTALON,1918938184
0602036970,L9350 T5,PIJAMA,1918935005
0602036980,L9350 T6,PIJAMA,1918935006
0602036990,L9350 TL,PIJAMA,1918935083
0602037000,L9350 TM,PIJAMA,1918935082
0602037010,L9350 TS,PIJAMA,1918935081
0602037020,L9350 TXL,PIJAMA,1918935084
0602037030,L9351 TL CRUDO,PIJAMA,191893516583
0602037040,L9351 TL ROSA,PIJAMA,19189351183
0602037050,L9351 TM CRUDO,PIJAMA,191893516582
0602037060,L9351 TM ROSA,PIJAMA,19189351182
0602037070,L9351 TS CRUDO,PIJAMA,191893516581
0602037080,L9351 TS ROSA,PIJAMA,19189351181
0602037090,L9351 TXL CRUDO,PIJAMA,191893516584
0602037100,L9351 TXL ROSA,PIJAMA,19189351184
0602037110,L9352 TL NEGRO,PIJAMA,191893521583
0602037120,L9352 TL NUDE,PIJAMA,191893526483
0602037130,L9352 TM NEGRO,PIJAMA,191893521582
0602037140,L9352 TM NUDE,PIJAMA,191893526482
0602037150,L9352 TS NEGRO,PIJAMA,191893521581
0602037160,L9352 TS NUDE,PIJAMA,191893526481
0602037170,L9352 TXL NEGRO,PIJAMA,191893521584
0602037180,L9352 TXL NUDE,PIJAMA,191893526484
0602037190,L9353 T5 GRIS,PIJAMA,191893531305
0602037200,L9353 T5 ROSA,PIJAMA,1918935305
0602037210,L9353 T6 GRIS,PIJAMA,191893531306
0602037220,L9353 T6 ROSA,PIJAMA,1918935306
0602037230,L9353 T7 GRIS,PIJAMA,191893531307
0602037240,L9353 T7 ROSA,PIJAMA,1918935307
0602037250,L9353 T8 GRIS,PIJAMA,191893531308
0602037260,L9353 T8 ROSA,PIJAMA,1918935308
0602037270,L9353 TL GRIS,PIJAMA,191893531383
0602037280,L9353 TL ROSA,PIJAMA,19189353183
0602037290,L9353 TM GRIS,PIJAMA,191893531382
0602037300,L9353 TM ROSA,PIJAMA,19189353182
0602037310,L9353 TS GRIS,PIJAMA,191893531381
0602037320,L9353 TS ROSA,PIJAMA,19189353181
0602037330,L9353 TXL GRIS,PIJAMA,191893531384
0602037340,L9353 TXL ROSA,PIJAMA,19189353184
0602037350,L9354 TL,PIJAMA,1918935483
