Cod_articulo,Descripcion,Desc_adicional,Familia,Codbarra,marca
0101197360,5555MK TM NEGRO,CONJUNTO,LENCERIA,55550203,zailu
0101197370,5555MK TL NEGRO,CONJUNTO,LENCERIA,55550303,zailu
0101197380,5555MK TS AZUL,CONJUNTO,LENCERIA,555501130,zailu
0101197390,5555MK TM AZUL,CONJUNTO,LENCERIA,555502130,zailu
0101197400,5555MK TL AZUL,CONJUNTO,LENCERIA,555503130,zailu
0101197410,5556MK T85 NEGRO,CONJUNTO,LENCERIA,55560203,zailu
0101197420,5556MK T90 NEGRO,CONJUNTO,LENCERIA,55560303,zailu
0101197430,5556MK T95 NEGRO,CONJUNTO,LENCERIA,55560403,zailu
0101197440,5556MK T100 NEGRO,CONJUNTO,LENCERIA,55560503,zailu
0101197450,5556MK T85 AZUL COS,CONJUNTO,LENCERIA,555602425,zailu
0101197460,5556MK T90 AZUL COS,CONJUNTO,LENCERIA,555603425,zailu
0101197470,5556MK T95 AZUL COS,CONJUNTO,LENCERIA,555604425,zailu
0101197480,5556MK T100 AZUL COS,CONJUNTO,LENCERIA,555605425,zailu
0101197490,5556MK T85 FRAMBUESA,CONJUNTO,LENCERIA,555602143,zailu
0101197500,5556MK T90 FRAMBUESA,CONJUNTO,LENCERIA,555603143,zailu
0101197510,5556MK T95 FRAMBUESA,CONJUNTO,LENCERIA,555604143,zailu
0101197520,5556MK T100 FRAMBUESA,CONJUNTO,LENCERIA,555605143,zailu
0101197530,5557MK T85 BLANCO,CONJUNTO,LENCERIA,55570201,zailu
0101197540,5557MK T90 BLANCO,CONJUNTO,LENCERIA,55570301,zailu
0101197550,5557MK T95 BLANCO,CONJUNTO,LENCERIA,55570401,zailu
0101197560,5557MK T100 BLANCO,CONJUNTO,LENCERIA,55570501,zailu
0101197570,5557MK T85 NEGRO,CONJUNTO,LENCERIA,55570203,zailu
0101197580,5557MK T90 NEGRO,CONJUNTO,LENCERIA,55570303,zailu
0101197590,5557MK T95 NEGRO,CONJUNTO,LENCERIA,55570403,zailu
0101197600,5557MK T100 NEGRO,CONJUNTO,LENCERIA,55570503,zailu
0101197610,5557MK T85 FRAMBUESA,CONJUNTO,LENCERIA,555702143,zailu
0101197620,5557MK T90 FRAMBUESA,CONJUNTO,LENCERIA,555703143,zailu
0101197630,5557MK T95 FRAMBUESA,CONJUNTO,LENCERIA,555704143,zailu
0101197640,5557MK T100 FRAMBUESA,CONJUNTO,LENCERIA,555705143,zailu
0101197650,5558MK T85 BLANCO,CONJUNTO,LENCERIA,55580201,zailu
0101197660,5558MK T90 BLANCO,CONJUNTO,LENCERIA,55580301,zailu
0101197670,5558MK T95 BLANCO,CONJUNTO,LENCERIA,55580401,zailu
0101197680,5558MK T100 BLANCO,CONJUNTO,LENCERIA,55580501,zailu
0101197690,5558MK T85 NEGRO,CONJUNTO,LENCERIA,55580203,zailu
0101197700,5558MK T90 NEGRO,CONJUNTO,LENCERIA,55580303,zailu
0101197710,5558MK T95 NEGRO,CONJUNTO,LENCERIA,55580403,zailu
0101197720,5558MK T100 NEGRO,CONJUNTO,LENCERIA,55580503,zailu
0101197730,5558MK T85 FRAMBUESA,CONJUNTO,LENCERIA,555802143,zailu
0101197740,5558MK T90 FRAMBUESA,CONJUNTO,LENCERIA,555803143,zailu
0101197750,5558MK T95 FRAMBUESA,CONJUNTO,LENCERIA,555804143,zailu
0101197760,5558MK T100 FRAMBUESA,CONJUNTO,LENCERIA,555805143,zailu
0101197770,5559MK T85 BLANCO,CONJUNTO,LENCERIA,55590201,zailu
0101197780,5559MK T90 BLANCO,CONJUNTO,LENCERIA,55590301,zailu
0101197790,5559MK T95 BLANCO,CONJUNTO,LENCERIA,55590401,zailu
0101197800,5559MK T100 BLANCO,CONJUNTO,LENCERIA,55590501,zailu
0101197810,5559MK T85 NEGRO,CONJUNTO,LENCERIA,55590203,zailu
0101197820,5559MK T90 NEGRO,CONJUNTO,LENCERIA,55590303,zailu
0101197830,5559MK T95 NEGRO,CONJUNTO,LENCERIA,55590403,zailu
0101197840,5559MK T100 NEGRO,CONJUNTO,LENCERIA,55590503,zailu
0101197850,5559MK T85 FRAMBUESA,CONJUNTO,LENCERIA,555902143,zailu
0101197860,5559MK T90 FRAMBUESA,CONJUNTO,LENCERIA,555903143,zailu
0101197870,5559MK T95 FRAMBUESA,CONJUNTO,LENCERIA,555904143,zailu
0101197880,5559MK T100 FRAMBUESA,CONJUNTO,LENCERIA,555905143,zailu
0101197890,5560MK T85 NEGRO,CONJUNTO,LENCERIA,55600203,zailu
0101197900,5560MK T100 NEGRO,CONJUNTO,LENCERIA,55600503,zailu
0101197910,5560MK T85 ROSA CUA,CONJUNTO,LENCERIA,556002334,zailu
0101197920,5560MK T90 ROSA CUA,CONJUNTO,LENCERIA,556003334,zailu
0101197930,5560MK T95 ROSA CUA,CONJUNTO,LENCERIA,556004334,zailu
0101197940,5560MK T100 ROSA CUA,CONJUNTO,LENCERIA,556005334,zailu
0101197950,5560MK T85 NOUGAT,CONJUNTO,LENCERIA,556002128,zailu
0101197960,5560MK T90 NOUGAT,CONJUNTO,LENCERIA,556003128,zailu
0101197970,5560MK T95 NOUGAT,CONJUNTO,LENCERIA,556004128,zailu
0101197980,5560MK T100 NOUGAT,CONJUNTO,LENCERIA,556005128,zailu
0101197990,5561MK T85 NEGRO,CONJUNTO,LENCERIA,55610203,zailu
0101198000,5561MK T90 NEGRO,CONJUNTO,LENCERIA,55610303,zailu
0101198010,5561MK T95 NEGRO,CONJUNTO,LENCERIA,55610403,zailu
0101198020,5561MK T85 ROSA CUA,CONJUNTO,LENCERIA,556102334,zailu
0101198030,5561MK T90 ROSA CUA,CONJUNTO,LENCERIA,556103334,zailu
0101198040,5561MK T95 ROSA CUA,CONJUNTO,LENCERIA,556104334,zailu
0101198050,5561MK T85 NOUGAT,CONJUNTO,LENCERIA,556102128,zailu
0101198060,5561MK T90 NOUGAT,CONJUNTO,LENCERIA,556103128,zailu
0101198070,5561MK T95 NOUGAT,CONJUNTO,LENCERIA,556104128,zailu
0101198080,5562MK T85 ROSA CUA,CONJUNTO,LENCERIA,556202334,zailu
0101198090,5562MK T90 ROSA CUA,CONJUNTO,LENCERIA,556203334,zailu
0101198100,5562MK T95 ROSA CUA,CONJUNTO,LENCERIA,556204334,zailu
0101198110,5562MK T100 ROSA CUA,CONJUNTO,LENCERIA,556205334,zailu
0101198120,5562MK T85 CELESTE EDEN,CONJUNTO,LENCERIA,556202403,zailu
