Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_Barras
0201001080,5005BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5005BR
0201001090,5007BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5007BR
0201001100,5008BR TXL BLANCO,BOXER,LINEA UNDERWARE HOMBRE,5008EXL001
0201001110,5008BR TXL FUCSIA,BOXER,LINEA UNDERWARE HOMBRE,5008EXL006
0201001120,5008BR TXL  CELESTE BOXER,BOXER,LINEA UNDERWARE HOMBRE,5008EXL007
0201001130,5008BR TXL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5008EXL013
0201001140,5008BR TXL ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5008EXL014
0201001150,5008BR TXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5008EXL051
0201001160,5008BR TL BLANCO,BOXER,LINEA UNDERWARE HOMBRE,5008LAR001
0201001170,5008BR TL FUCSIA,BOXER,LINEA UNDERWARE HOMBRE,5008LAR006
0201001180,5008BR TL  CELESTE BOXER,BOXER,LINEA UNDERWARE HOMBRE,5008LAR007
0201001190,5008BR TL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5008LAR013
0201001200,5008BR TL ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5008LAR014
0201001210,5008BR TL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5008LAR051
0201001220,5008BR TM BLANCO,BOXER,LINEA UNDERWARE HOMBRE,5008MED001
0201001230,5008BR TM FUCSIA,BOXER,LINEA UNDERWARE HOMBRE,5008MED006
0201001240,5008BR TM  CELESTE BOXER,BOXER,LINEA UNDERWARE HOMBRE,5008MED007
0201001250,5008BR TM MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5008MED013
0201001260,5008BR TM ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5008MED014
0201001270,5008BR TM FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5008MED051
0201001280,5008BR TS BLANCO,BOXER,LINEA UNDERWARE HOMBRE,5008SMA001
0201001290,5008BR TS FUCSIA,BOXER,LINEA UNDERWARE HOMBRE,5008SMA006
0201001300,5008BR TS  CELESTE BOXER,BOXER,LINEA UNDERWARE HOMBRE,5008SMA007
0201001310,5008BR TS MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5008SMA013
0201001320,5008BR TS ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,5008SMA014
0201001330,5008BR TS FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5008SMA051
0201001340,5009BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5009BR
0201001350,5010BR TXL NEGRO,BOXER,LINEA UNDERWARE HOMBRE,5010EXL002
0201001360,5010BR TXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5010EXL015
0201001370,5010BR TXL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5010EXL050
0201001380,5010BR TXL LIMA,BOXER,LINEA UNDERWARE HOMBRE,5010EXL068
0201001390,5010BR TL NEGRO,BOXER,LINEA UNDERWARE HOMBRE,5010LAR002
0201001400,5010BR TL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5010LAR015
0201001410,5010BR TL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5010LAR050
0201001420,5010BR TL LIMA,BOXER,LINEA UNDERWARE HOMBRE,5010LAR068
0201001430,5010BR TM NEGRO,BOXER,LINEA UNDERWARE HOMBRE,5010MED002
0201001440,5010BR TM AZUL,BOXER,LINEA UNDERWARE HOMBRE,5010MED015
0201001450,5010BR TM ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5010MED050
0201001460,5010BR TM LIMA,BOXER,LINEA UNDERWARE HOMBRE,5010MED068
0201001470,5010BR TS NEGRO,BOXER,LINEA UNDERWARE HOMBRE,5010SMA002
0201001480,5010BR TS AZUL,BOXER,LINEA UNDERWARE HOMBRE,5010SMA015
0201001490,5010BR TS ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5010SMA050
0201001500,5010BR TS LIMA,BOXER,LINEA UNDERWARE HOMBRE,5010SMA068
0201001510,5010BR TXXL NEGRO,BOXER,LINEA UNDERWARE HOMBRE,5010XXL002
0201001520,5010BR TXXL AZUL,BOXER,LINEA UNDERWARE HOMBRE,5010XXL015
0201001530,5010BR TXXL ACQUA,BOXER,LINEA UNDERWARE HOMBRE,5010XXL050
0201001540,5010BR TXXL LIMA,BOXER,LINEA UNDERWARE HOMBRE,5010XXL068
0201001550,5012BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5012BR
0201001560,5014BR BOXER ACROBATA,BOXER,LINEA UNDERWARE HOMBRE,5014BR
0201001570,5016BR TXL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5016EXL013
0201001580,5016BR TXL VERDE,BOXER,LINEA UNDERWARE HOMBRE,5016EXL030
0201001590,5016BR TXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5016EXL051
0201001600,5016BR TXL MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5016EXL067
0201001610,5016BR TXL BORDO,BOXER,LINEA UNDERWARE HOMBRE,5016EXL090
0201001620,5016BR TL MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5016LAR013
0201001630,5016BR TL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5016LAR051
0201001640,5016BR TL MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5016LAR067
0201001650,5016BR TL  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5016LAR090
0201001660,5016BR TM MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5016MED013
0201001670,5016BR TM FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5016MED051
0201001680,5016BR TM MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5016MED067
0201001690,5016BR TM  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5016MED090
0201001700,5016BR TS MELANGE,BOXER,LINEA UNDERWARE HOMBRE,5016SMA013
0201001710,5016BR TS FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5016SMA051
0201001720,5016BR TS MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5016SMA067
0201001730,5016BR TS  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5016SMA090
0201001740,5017BR TXXXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,50173XL051
0201001750,5017BR TXXXL MILITAR,BOXER,LINEA UNDERWARE HOMBRE,50173XL067
0201001760,5017BR TXXXL ARMY,BOXER,LINEA UNDERWARE HOMBRE,50173XL094
0201001770,5017BR TXXXL ORANGE,BOXER,LINEA UNDERWARE HOMBRE,50173XL105
0201001780,5017BR1 TXXL-TXXXL,BOXER,LINEA UNDERWARE HOMBRE,5017BR1
0201001790,5017BR TXL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5017EXL051
0201001800,5017BR TXL MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5017EXL067
0201001810,5017BR TXL  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5017EXL090
0201001820,5017BR TXL ARMY,BOXER,LINEA UNDERWARE HOMBRE,5017EXL094
0201001830,5017BR TXL ORANGE,BOXER,LINEA UNDERWARE HOMBRE,5017EXL105
0201001840,5017BR TL FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5017LAR051
0201001850,5017BR TL MILITAR,BOXER,LINEA UNDERWARE HOMBRE,5017LAR067
0201001860,5017BR TL  BORDO,BOXER,LINEA UNDERWARE HOMBRE,5017LAR090
0201001870,5017BR TL ARMY,BOXER,LINEA UNDERWARE HOMBRE,5017LAR094
0201001880,5017BR TL ORANGE,BOXER,LINEA UNDERWARE HOMBRE,5017LAR105
0201001890,5017BR TM FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,5017MED051
